year,age,number
2015,0,2
2015,1,1
2015,3,1
2015,5,1
2015,10,2
2015,12,1
2015,14,1
2015,16,9
2015,17,105
2015,18,396
2015,19,887
2015,20,1595
2015,21,2492
2015,22,4159
2015,23,5536
2015,24,7294
2015,25,9357
2015,26,10217
2015,27,9836
2015,28,11725
2015,29,12266
2015,30,8621
2015,31,6263
2015,32,7104
2015,33,9731
2015,34,9537
2015,35,6435
2015,36,7561
2015,37,6053
2015,38,6529
2015,39,8858
2015,40,10701
2015,41,10977
2015,42,10613
2015,43,10527
2015,44,10673
2015,45,11182
2015,46,10161
2015,47,11395
2015,48,8457
2015,49,9598
2015,50,10517
2015,51,10614
2015,52,13927
2015,53,7382
2015,54,3425
2015,55,5076
2015,56,5719
2015,57,7821
2015,58,8930
2015,59,8930
2015,60,9055
2015,61,8964
2015,62,8484
2015,63,7900
2015,64,6146
2015,65,5706
2015,66,6128
2015,67,5085
2015,68,5132
2015,69,5064
2015,70,4217
2015,71,4259
2015,72,3702
2015,73,3890
2015,74,3398
2015,75,3715
2015,76,3041
2015,77,3251
2015,78,2720
2015,79,2765
2015,80,2296
2015,81,2150
2015,82,2428
2015,83,1975
2015,84,1738
2015,85,1725
2015,86,1169
2015,87,957
2015,88,833
2015,89,614
2015,90,431
2015,91,322
2015,92,242
2015,93,182
2015,94,121
2015,95,94
2015,96,70
2015,97,62
2015,98,25
2015,99,13
2015,100,13
2015,101,9
2015,102,4
2015,103,1
2015,105,1